account_id,notification_date_time,delivery_method,notification_type,login_account_id,event_id,bill_status,tdate,Communication_Preference,OptOut_ts
124162,2019-12-30 5:50:45,PAPER,PAPER_CYCLE_4(0900),,,,,,
127353,2019-12-12 17:45:32,EMAIL,RESEND_INITIAL_BILL,127353,3,PAID,2020-01-14 20:04:49,Get text and email,2019-12-11 15:19:26
127353,2019-12-30 5:50:11,PAPER,PAPER_CYCLE_4(0900),127353,3,PAID,2020-01-14 20:04:49,Get text and email,2019-12-11 15:19:26
127353,2019-12-30 17:46:24,EMAIL,PAST_DUE_BILL_REMINDER,127353,3,PAID,2020-01-14 20:04:49,Get text and email,2019-12-11 15:19:26
127353,2019-12-30 17:46:25,TEXT,PAST_DUE_BILL_REMINDER,127353,3,PAID,2020-01-14 20:04:49,Get text and email,2019-12-11 15:19:26
136243,2019-12-30 5:51:32,PAPER,PAPER_CYCLE_4(0900),,,,,OptOut of text but will get email,2019-10-08 10:37:32
136243,2020-01-27 5:46:10,PAPER,PAPER_CYCLE_5(0900),,,,,OptOut of text but will get email,2019-10-08 10:37:32
136831,2019-12-10 5:45:40,PAPER,PAPER_CYCLE_5(0900),,,,,,
136831,2019-12-13 5:45:19,PAPER,PAPER_CYCLE_5(0900),,,,,,
136831,2019-12-23 5:46:59,PAPER,PAPER_CYCLE_6(0900),,,,,,
137197,2019-12-12 5:45:56,PAPER,DROP_TO_PAPER(0002),,,,,OptOut of text and email for all practices,2019-11-05 15:33:49
137197,2019-12-17 5:47:05,PAPER,PAPER_CYCLE_3(0002),,,,,OptOut of text and email for all practices,2019-11-05 15:33:49
137197,2020-01-14 5:45:20,PAPER,PAPER_CYCLE_4(0900),,,,,OptOut of text and email for all practices,2019-11-05 15:33:49
137877,2019-12-16 5:48:05,PAPER,PAPER_CYCLE_6(0900),,,,,,
137877,2020-01-13 5:45:35,PAPER,PAPER_CYCLE_7(0900),,,,,,
138109,2019-12-11 5:47:14,PAPER,PAPER_CYCLE_7(0900),,,,,,
138109,2019-12-12 5:45:56,PAPER,DROP_TO_PAPER(0002),,,,,,
138109,2020-01-08 5:47:28,PAPER,PAPER_CYCLE_8(0900),,,,,,
138635,2019-12-17 14:45:35,TEXT,BILL_REMINDER,,,,,,
139039,2019-12-13 5:45:56,PAPER,DROP_TO_PAPER(0002),,,,,,
139039,2019-12-30 14:46:14,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
139039,2020-01-02 5:45:37,PAPER,PAPER_CYCLE_4(0900),,,,,,
140852,2019-12-16 17:45:07,TEXT,INITIAL_BILL,,,,,OptOut of text but will get email,2019-12-16 13:12:05
141378,2019-12-13 17:45:49,EMAIL,INITIAL_BILL,,,,,,
141378,2019-12-13 17:45:50,TEXT,INITIAL_BILL,,,,,,
141378,2019-12-16 17:45:08,EMAIL,INITIAL_BILL,,,,,,
141378,2019-12-16 17:45:09,TEXT,INITIAL_BILL,,,,,,
141378,2019-12-23 5:47:41,PAPER,DROP_TO_PAPER(0002),,,,,,
141378,2020-01-02 17:45:06,EMAIL,BILL_REMINDER,,,,,,
141378,2020-01-02 17:45:07,TEXT,BILL_REMINDER,,,,,,
141378,2020-01-09 17:45:05,EMAIL,BILL_REMINDER,,,,,,
141378,2020-01-09 17:45:06,TEXT,BILL_REMINDER,,,,,,
141378,2020-01-20 17:45:10,EMAIL,INITIAL_BILL,,,,,,
141378,2020-01-20 17:45:11,TEXT,INITIAL_BILL,,,,,,
141984,2019-12-16 5:48:19,PAPER,PAPER_CYCLE_7(0900),,,,,,
142453,2019-12-27 16:56:55,TEXT,BILL_REMINDER,,,,,,
142453,2020-01-07 16:47:57,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
143067,2019-12-16 5:50:02,PAPER,DROP_TO_PAPER(0002),,,,,,
143067,2019-12-30 16:46:46,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
143067,2020-01-01 5:46:02,PAPER,PAPER_CYCLE_4(0900),,,,,,
143706,2019-12-30 16:48:41,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
143706,2020-01-01 5:46:04,PAPER,PAPER_CYCLE_4(0900),,,,,,
144153,2019-12-30 16:45:36,EMAIL,INITIAL_BILL,,,,,,
144153,2019-12-30 16:45:37,TEXT,INITIAL_BILL,,,,,,
144153,2020-01-07 5:46:56,PAPER,DROP_TO_PAPER(0002),,,,,,
144153,2020-01-09 16:45:42,EMAIL,BILL_REMINDER,,,,,,
144153,2020-01-09 16:45:43,TEXT,BILL_REMINDER,,,,,,
144153,2020-01-24 16:46:57,EMAIL,BILL_REMINDER,,,,,,
144153,2020-01-24 16:46:58,TEXT,BILL_REMINDER,,,,,,
144153,2020-01-27 5:46:17,PAPER,PAPER_CYCLE_6(0900),,,,,,
146053,2019-12-30 16:47:31,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
146053,2020-01-01 5:46:10,PAPER,PAPER_CYCLE_4(0900),,,,,,
146935,2019-12-09 5:47:30,PAPER,DROP_TO_PAPER(0002),,,,,,
146935,2019-12-27 16:49:30,EMAIL,BILL_REMINDER,,,,,,
146935,2019-12-27 16:49:31,TEXT,BILL_REMINDER,,,,,,
146935,2020-01-09 16:46:49,EMAIL,PAST_DUE_BILL_REMINDER,,,,,,
146935,2020-01-09 16:46:50,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
146935,2020-01-20 5:48:40,PAPER,PAPER_CYCLE_6(0900),,,,,,
149120,2019-12-16 5:50:02,NO_DUNNING,DROP_TO_PAPER(0002),,,,,,
149622,2019-12-30 16:48:18,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
149622,2020-01-01 5:46:19,PAPER,PAPER_CYCLE_4(0900),,,,,,
149886,2019-12-16 5:50:02,PAPER,DROP_TO_PAPER(0002),,,,,,
149886,2019-12-30 16:51:18,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
149886,2020-01-01 5:46:19,PAPER,PAPER_CYCLE_4(0900),,,,,,
150140,2019-12-09 5:47:26,PAPER,DROP_TO_PAPER(0002),,,,,,
150140,2019-12-30 16:48:09,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
150140,2020-01-01 5:46:20,PAPER,PAPER_CYCLE_4(0900),,,,,,
152253,2019-12-09 16:46:05,TEXT,INITIAL_BILL,,,,,OptOut of text and email for all practices,2019-12-17 11:06:43
152253,2019-12-12 16:47:04,TEXT,BILL_REMINDER,,,,,OptOut of text and email for all practices,2019-12-17 11:06:43
152253,2019-12-16 16:46:48,TEXT,BILL_REMINDER,,,,,OptOut of text and email for all practices,2019-12-17 11:06:43
152253,2019-12-18 5:47:23,PAPER,DROP_TO_PAPER(0002),,,,,OptOut of text and email for all practices,2019-12-17 11:06:43
152253,2019-12-27 18:08:46,PAPER,DROP_TO_PAPER(0002),,,,,OptOut of text and email for all practices,2019-12-17 11:06:43
152253,2020-01-13 5:45:47,PAPER,PAPER_CYCLE_3(0002),,,,,OptOut of text and email for all practices,2019-12-17 11:06:43
153217,2019-12-09 5:47:26,PAPER,DROP_TO_PAPER(0002),,,,,,
153217,2019-12-30 16:48:52,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
153217,2020-01-02 5:45:59,PAPER,PAPER_CYCLE_4(0900),,,,,,
153409,2019-12-23 5:45:48,PAPER,PAPER_CYCLE_4(0900),,,,,,
153409,2019-12-23 16:49:35,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
153409,2020-01-06 5:49:58,PAPER,PAPER_CYCLE_4(0900),,,,,,
153409,2020-01-06 16:50:26,TEXT,BILL_REMINDER,,,,,,
153409,2020-01-20 5:50:34,PAPER,PAPER_CYCLE_5(0900),,,,,,
154775,2019-12-18 16:47:34,EMAIL,RESEND_INITIAL_BILL,,,,,,
154837,2019-12-11 5:47:34,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-10 14:09:53,OptOut of text but will get email,2020-01-20 14:23:18
154837,2019-12-11 5:47:34,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-10 14:12:22,OptOut of text but will get email,2020-01-20 14:23:18
154837,2019-12-11 5:47:34,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-10 14:14:48,OptOut of text but will get email,2020-01-20 14:23:18
154837,2019-12-11 5:47:34,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-12 4:19:55,OptOut of text but will get email,2020-01-20 14:23:18
154837,2019-12-11 5:47:34,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-30 11:25:41,OptOut of text but will get email,2020-01-20 14:23:18
154837,2019-12-11 5:47:34,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-30 11:37:34,OptOut of text but will get email,2020-01-20 14:23:18
154837,2019-12-11 16:45:31,EMAIL,RESEND_INITIAL_BILL,154837,7,DUE,2019-12-10 14:09:53,OptOut of text but will get email,2020-01-20 14:23:18
154837,2019-12-11 16:45:31,EMAIL,RESEND_INITIAL_BILL,154837,7,DUE,2019-12-10 14:12:22,OptOut of text but will get email,2020-01-20 14:23:18
154837,2019-12-11 16:45:31,EMAIL,RESEND_INITIAL_BILL,154837,7,DUE,2019-12-10 14:14:48,OptOut of text but will get email,2020-01-20 14:23:18
154837,2019-12-11 16:45:31,EMAIL,RESEND_INITIAL_BILL,154837,7,DUE,2019-12-12 4:19:55,OptOut of text but will get email,2020-01-20 14:23:18
154837,2019-12-11 16:45:31,EMAIL,RESEND_INITIAL_BILL,154837,7,DUE,2019-12-30 11:25:41,OptOut of text but will get email,2020-01-20 14:23:18
154837,2019-12-11 16:45:31,EMAIL,RESEND_INITIAL_BILL,154837,7,DUE,2019-12-30 11:37:34,OptOut of text but will get email,2020-01-20 14:23:18
154837,2020-01-21 5:46:18,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-10 14:09:53,OptOut of text but will get email,2020-01-20 14:23:18
154837,2020-01-21 5:46:18,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-10 14:12:22,OptOut of text but will get email,2020-01-20 14:23:18
154837,2020-01-21 5:46:18,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-10 14:14:48,OptOut of text but will get email,2020-01-20 14:23:18
154837,2020-01-21 5:46:18,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-12 4:19:55,OptOut of text but will get email,2020-01-20 14:23:18
154837,2020-01-21 5:46:18,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-30 11:25:41,OptOut of text but will get email,2020-01-20 14:23:18
154837,2020-01-21 5:46:18,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-30 11:37:34,OptOut of text but will get email,2020-01-20 14:23:18
154837,2020-01-24 5:47:17,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-10 14:09:53,OptOut of text but will get email,2020-01-20 14:23:18
154837,2020-01-24 5:47:17,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-10 14:12:22,OptOut of text but will get email,2020-01-20 14:23:18
154837,2020-01-24 5:47:17,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-10 14:14:48,OptOut of text but will get email,2020-01-20 14:23:18
154837,2020-01-24 5:47:17,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-12 4:19:55,OptOut of text but will get email,2020-01-20 14:23:18
154837,2020-01-24 5:47:17,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-30 11:25:41,OptOut of text but will get email,2020-01-20 14:23:18
154837,2020-01-24 5:47:17,PAPER,DROP_TO_PAPER(0002),154837,7,DUE,2019-12-30 11:37:34,OptOut of text but will get email,2020-01-20 14:23:18
154962,2019-12-10 16:47:58,TEXT,BILL_REMINDER,,,,,,
155807,2019-12-10 16:48:35,EMAIL,RESEND_INITIAL_BILL,,,,,OptOut of text and email for all practices,2019-12-09 16:47:23
157356,2020-01-02 5:46:10,PAPER,PAPER_CYCLE_4(0900),,,,,OptOut of text but will get email,2019-10-08 13:20:32
157401,2019-12-30 16:49:35,EMAIL,PAST_DUE_BILL_REMINDER,,,,,OptOut of text but will get email,2019-11-07 15:42:48
157401,2020-01-02 5:46:10,PAPER,PAPER_CYCLE_4(0900),,,,,OptOut of text but will get email,2019-11-07 15:42:48
157401,2020-01-20 5:48:39,PAPER,PAPER_CYCLE_4(0900),,,,,OptOut of text but will get email,2019-11-07 15:42:48
157401,2020-01-20 16:48:46,EMAIL,PAST_DUE_BILL_REMINDER,,,,,OptOut of text but will get email,2019-11-07 15:42:48
158397,2019-12-30 16:49:39,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
158397,2020-01-02 5:46:12,PAPER,PAPER_CYCLE_4(0900),,,,,,
159574,2020-01-02 5:45:38,PAPER,PAPER_CYCLE_4(0900),,,,,OptOut of text and email for all practices,2019-12-11 16:30:59
159943,2019-12-06 5:46:48,PAPER,PAPER_CYCLE_3(0002),,,,,,
159943,2019-12-16 14:45:21,EMAIL,RESEND_REMINDER,,,,,,
159943,2019-12-16 14:45:22,TEXT,RESEND_INITIAL_BILL,,,,,,
165094,2019-12-17 5:47:53,PAPER,DROP_TO_PAPER(0002),,,,,,
165094,2019-12-20 5:45:16,PAPER,PAPER_CYCLE_7(0900),,,,,,
165094,2019-12-20 22:51:34,PAPER,PAPER_CYCLE_7(0900),,,,,,
165094,2019-12-27 18:41:22,PAPER,PAPER_CYCLE_7(0900),,,,,,
165094,2020-01-17 5:45:16,PAPER,PAPER_CYCLE_8(0900),,,,,,
172051,2019-12-25 5:45:32,PAPER,PAPER_CYCLE_3(0002),,,,,OptOut of text and email for all practices,2019-12-09 11:19:21
172051,2020-01-22 5:45:23,PAPER,PAPER_CYCLE_4(0900),,,,,OptOut of text and email for all practices,2019-12-09 11:19:21
172553,2019-12-09 17:45:33,EMAIL,RESEND_PAST_DUE,,,,,,
172659,2019-12-12 17:45:21,TEXT,PAST_DUE_BILL_REMINDER,,,,,OptOut of text but will get email,2019-12-13 15:48:40
172659,2019-12-16 17:45:05,EMAIL,RESEND_INITIAL_BILL,,,,,OptOut of text but will get email,2019-12-13 15:48:40
172659,2019-12-26 5:45:09,PAPER,PAPER_CYCLE_3(0002),,,,,OptOut of text but will get email,2019-12-13 15:48:40
172659,2019-12-27 17:45:05,EMAIL,PAST_DUE_BILL_REMINDER,,,,,OptOut of text but will get email,2019-12-13 15:48:40
172659,2020-01-09 17:45:05,EMAIL,PAST_DUE_BILL_REMINDER,,,,,OptOut of text but will get email,2019-12-13 15:48:40
172659,2020-01-23 5:45:10,PAPER,PAPER_CYCLE_4(0900),,,,,OptOut of text but will get email,2019-12-13 15:48:40
172659,2020-01-23 17:45:11,EMAIL,PAST_DUE_BILL_REMINDER,,,,,OptOut of text but will get email,2019-12-13 15:48:40
174050,2019-12-06 16:45:59,TEXT,PAST_DUE_BILL_REMINDER,174050,3,PAID,2020-01-02 12:15:09,,
174050,2019-12-10 5:46:15,PAPER,DROP_TO_PAPER(0002),174050,3,PAID,2020-01-02 12:15:09,,
174050,2019-12-10 16:45:23,EMAIL,RESEND_INITIAL_BILL,174050,3,PAID,2020-01-02 12:15:09,,
174050,2019-12-23 16:45:35,EMAIL,INITIAL_BILL,174050,3,PAID,2020-01-02 12:15:09,,
174050,2019-12-23 16:45:36,TEXT,INITIAL_BILL,174050,3,PAID,2020-01-02 12:15:09,,
174050,2019-12-31 5:46:28,PAPER,DROP_TO_PAPER(0002),174050,3,PAID,2020-01-02 12:15:09,,
174050,2020-01-02 16:46:19,EMAIL,BILL_REMINDER,174050,3,PAID,2020-01-02 12:15:09,,
174050,2020-01-02 16:46:21,TEXT,BILL_REMINDER,174050,3,PAID,2020-01-02 12:15:09,,
174115,2019-12-16 5:48:39,PAPER,PAPER_CYCLE_3(0002),,,,,OptOut of text but will get email,2019-11-07 10:20:25
174115,2020-01-13 5:46:11,PAPER,PAPER_CYCLE_4(0900),,,,,OptOut of text but will get email,2019-11-07 10:20:25
174115,2020-01-16 5:45:21,PAPER,PAPER_CYCLE_4(0900),,,,,OptOut of text but will get email,2019-11-07 10:20:25
174129,2019-12-30 5:53:05,PAPER,PAPER_CYCLE_3(0002),,,,,,
174280,2019-12-11 5:46:23,PAPER,PAPER_CYCLE_3(0002),,,,,,
174280,2020-01-08 5:46:38,PAPER,PAPER_CYCLE_4(0900),,,,,,
175055,2019-12-09 16:47:24,TEXT,PAST_DUE_BILL_REMINDER,,,,,Get Mobile,2019-12-18 16:34:15
175055,2019-12-16 5:50:02,PAPER,DROP_TO_PAPER(0002),,,,,Get Mobile,2019-12-18 16:34:15
175055,2019-12-16 16:46:37,TEXT,PAST_DUE_BILL_REMINDER,,,,,Get Mobile,2019-12-18 16:34:15
175171,2019-12-10 16:46:55,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
175171,2019-12-12 5:45:56,PAPER,DROP_TO_PAPER(0002),,,,,,
175171,2019-12-12 16:46:27,EMAIL,RESEND_INITIAL_BILL,,,,,,
175171,2019-12-17 16:45:50,EMAIL,PAST_DUE_BILL_REMINDER,,,,,,
175171,2019-12-17 16:45:51,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
175171,2019-12-31 5:45:58,PAPER,PAPER_CYCLE_3(0002),,,,,,
175171,2020-01-02 16:50:08,EMAIL,PAST_DUE_BILL_REMINDER,,,,,,
175171,2020-01-02 16:50:09,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
175171,2020-01-14 16:45:20,EMAIL,PAST_DUE_BILL_REMINDER,,,,,,
175171,2020-01-14 16:45:21,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
175171,2020-01-17 5:45:57,PAPER,PAPER_CYCLE_5(0900),,,,,,
175171,2020-01-20 16:45:41,EMAIL,INITIAL_BILL,,,,,,
175171,2020-01-20 16:45:42,TEXT,INITIAL_BILL,,,,,,
191951,2019-12-10 16:47:08,TEXT,BILL_REMINDER,191951,3,PAID,2020-01-09 11:30:54,,
191951,2019-12-17 16:47:35,TEXT,PAST_DUE_BILL_REMINDER,191951,3,PAID,2020-01-09 11:30:54,,
191951,2019-12-27 16:48:40,TEXT,PAST_DUE_BILL_REMINDER,191951,3,PAID,2020-01-09 11:30:54,,
191951,2020-01-07 5:46:22,PAPER,PAPER_CYCLE_3(0002),191951,3,PAID,2020-01-09 11:30:54,,
191951,2020-01-07 16:49:53,TEXT,PAST_DUE_BILL_REMINDER,191951,3,PAID,2020-01-09 11:30:54,,
201668,2019-12-10 14:45:14,TEXT,BILL_REMINDER,,,,,,
201668,2019-12-11 5:47:33,PAPER,DROP_TO_PAPER(0002),,,,,,
201668,2019-12-11 14:45:32,EMAIL,RESEND_INITIAL_BILL,,,,,,
201668,2019-12-17 14:45:12,EMAIL,PAST_DUE_BILL_REMINDER,,,,,,
201668,2019-12-17 14:45:13,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
201668,2019-12-27 14:46:07,EMAIL,PAST_DUE_BILL_REMINDER,,,,,,
201668,2019-12-27 14:46:08,TEXT,PAST_DUE_BILL_REMINDER,,,,,,
201700,2019-12-10 14:45:12,TEXT,BILL_REMINDER,,,,,OptOut of text but will get email,2019-12-17 10:06:05
201700,2019-12-17 14:45:13,TEXT,PAST_DUE_BILL_REMINDER,,,,,OptOut of text but will get email,2019-12-17 10:06:05
201700,2020-01-07 5:46:12,PAPER,PAPER_CYCLE_3(0002),,,,,OptOut of text but will get email,2019-12-17 10:06:05
202166,2020-01-17 16:48:19,EMAIL,BILL_REMINDER,202166,3,PAID,2020-01-17 12:04:12,,
202166,2020-01-17 16:48:19,EMAIL,BILL_REMINDER,202166,3,PAID,2020-01-24 0:29:18,,
202166,2020-01-17 16:48:19,TEXT,BILL_REMINDER,202166,3,PAID,2020-01-17 12:04:12,,
202166,2020-01-17 16:48:19,TEXT,BILL_REMINDER,202166,3,PAID,2020-01-24 0:29:18,,
202166,2020-01-23 16:50:01,EMAIL,BILL_REMINDER,202166,3,PAID,2020-01-17 12:04:12,,
202166,2020-01-23 16:50:01,EMAIL,BILL_REMINDER,202166,3,PAID,2020-01-24 0:29:18,,
